Company,TypeName,Inches,Ram,Gpu,OpSys,Weight,Price,HDD,SSD,Touchscreen,IPS,X_res,Y_res,ppi,Cpu brand
Apple,Ultrabook,13.3,8,Intel Iris Plus Graphics 640,macOS,1.37,11.175754549129524,0,128,0,1,2560,1600,226.98300468106115,Intel Core i5
Apple,Ultrabook,13.3,8,Intel HD Graphics 6000,macOS,1.34,10.77677731765335,0,128,0,0,1440,900,127.67794013309688,Intel Core i5
HP,Notebook,15.6,8,Intel HD Graphics 620,Others/No OS/Linux,1.86,10.329931067029484,0,256,0,0,1920,1080,141.21199808219862,Intel Core i5
Apple,Ultrabook,15.4,16,AMD Radeon Pro 455,macOS,1.83,11.814475944954545,0,512,0,1,2880,1800,220.53462386625827,Intel Core i7
Apple,Ultrabook,13.3,8,Intel Iris Plus Graphics 650,macOS,1.37,11.473100972779063,0,256,0,1,2560,1600,226.98300468106115,Intel Core i5
Acer,Notebook,15.6,4,AMD Radeon R5,Windows,2.1,9.967025573340116,500,0,0,0,1366,768,100.45466986113651,AMD Processor
Apple,Ultrabook,15.4,16,Intel Iris Pro Graphics,macOS,2.04,11.64410811545818,0,256,0,1,2880,1800,220.53462386625827,Intel Core i7
Apple,Ultrabook,13.3,8,Intel HD Graphics 6000,macOS,1.34,11.03061499223515,0,256,0,0,1440,900,127.67794013309688,Intel Core i5
Asus,Ultrabook,14.0,16,Nvidia GeForce MX150,Windows,1.3,11.285442512056921,0,512,0,0,1920,1080,157.3505121487356,Intel Core i7
Acer,Ultrabook,14.0,8,Intel UHD Graphics 620,Windows,1.6,10.621951541079863,0,256,0,1,1920,1080,157.3505121487356,Intel Core i5
HP,Notebook,15.6,4,Intel HD Graphics 620,Others/No OS/Linux,1.86,9.951658096208995,500,0,0,0,1366,768,100.45466986113651,Intel Core i5
HP,Notebook,15.6,4,Intel HD Graphics 520,Others/No OS/Linux,1.86,9.819076457336159,500,0,0,0,1920,1080,141.21199808219862,Intel Core i3
Apple,Ultrabook,15.4,16,AMD Radeon Pro 555,macOS,1.83,11.775302049361828,0,256,0,1,2880,1800,220.53462386625827,Intel Core i7
Dell,Notebook,15.6,4,AMD Radeon R5 M430,Windows,2.2,10.187966701099125,0,256,0,0,1920,1080,141.21199808219862,Intel Core i3
Apple,Ultrabook,12.0,8,Intel HD Graphics 615,macOS,0.92,11.116330976323743,0,256,0,1,2304,1440,226.41554716935852,Other Intel Processor
Apple,Ultrabook,13.3,8,Intel Iris Plus Graphics 640,macOS,1.37,11.301072237406668,0,256,0,1,2560,1600,226.98300468106115,Intel Core i5
Dell,Notebook,15.6,8,AMD Radeon R5 M430,Windows,2.2,10.588945244611693,0,256,0,0,1920,1080,141.21199808219862,Intel Core i7
Apple,Ultrabook,15.4,16,AMD Radeon Pro 560,macOS,1.83,11.933438384721946,0,512,0,1,2880,1800,220.53462386625827,Intel Core i7
Lenovo,Notebook,15.6,8,Nvidia GeForce 940MX,Others/No OS/Linux,2.2,10.188167121983652,1,0,0,0,1920,1080,141.21199808219862,Intel Core i3
Dell,Ultrabook,13.3,8,Intel UHD Graphics 620,Windows,1.22,10.862092668762644,0,128,1,1,1920,1080,165.6321180513006,Intel Core i5
Asus,Netbook,11.6,2,Intel HD Graphics 400,Windows,0.98,9.232535429245788,0,32,0,0,1366,768,135.0942111925629,Other Intel Processor
Lenovo,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows,2.5,10.882315804880687,1,128,0,1,1920,1080,141.21199808219862,Intel Core i5
HP,Notebook,15.6,4,AMD Radeon R2,Others/No OS/Linux,1.86,9.528520611153752,500,0,0,0,1366,768,100.45466986113651,AMD Processor
Dell,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,Windows,1.62,10.683645110085203,0,256,1,0,1920,1080,165.6321180513006,Intel Core i5
HP,Ultrabook,15.6,8,Intel HD Graphics 620,Windows,1.91,10.46628456073464,0,256,0,0,1920,1080,141.21199808219862,Intel Core i7
Dell,Notebook,15.6,4,Intel HD Graphics 520,Windows,2.3,10.012572388296086,1,0,0,0,1366,768,100.45466986113651,Intel Core i3
Apple,Ultrabook,13.3,8,Intel HD Graphics 6000,macOS,1.35,10.977716980635755,0,128,0,0,1440,900,127.67794013309688,Intel Core i5
Dell,Notebook,15.6,8,AMD Radeon 530,Windows,2.2,10.660172753900062,0,256,0,0,1920,1080,141.21199808219862,Intel Core i5
Dell,Ultrabook,15.6,8,Intel UHD Graphics 620,Windows,1.88,11.144140923496169,0,512,0,0,1920,1080,141.21199808219862,Intel Core i7
HP,Notebook,17.3,8,Nvidia GeForce 930MX,Windows,2.5,10.773501439207065,1,0,0,0,1920,1080,127.33567457123111,Intel Core i5
Chuwi,Notebook,15.6,4,Intel HD Graphics,Windows,1.89,9.476778419617322,0,64,0,0,1920,1080,141.21199808219862,Other Intel Processor
